GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Luxe Hotels - Common,com.luxe.common.auth,SecurityConfig,33,0,0,0,7,0,6,0,6,0
Luxe Hotels - Common,com.luxe.common.auth,JwtService,2,161,2,8,0,41,2,8,0,5
Luxe Hotels - Common,com.luxe.common.auth,DefaultAuthContextResolver,44,0,8,0,12,0,7,0,3,0
Luxe Hotels - Common,com.luxe.common.auth,SubgraphAuthInterceptor,46,0,4,0,13,0,5,0,3,0
Luxe Hotels - Common,com.luxe.common.auth,AuthContext,0,78,2,10,0,11,2,10,0,6
Luxe Hotels - Common,com.luxe.common.auth,AuthRole,0,33,0,0,0,6,0,1,0,1
Luxe Hotels - Common,com.luxe.common.auth,UnauthorizedException,4,8,0,0,2,3,2,2,2,2
Luxe Hotels - Common,com.luxe.common.config,LuxeBackendProperties,45,0,4,0,11,0,10,0,8,0
Luxe Hotels - Common,com.luxe.common.config,CommonGraphQLConfig,94,0,0,0,49,0,3,0,3,0
Luxe Hotels - Common,com.luxe.common.config,GraphQLLoggingInstrumentation,132,0,12,0,17,0,10,0,4,0
Luxe Hotels - Common,com.luxe.common.pagination,PageInfo,0,23,0,0,0,2,0,2,0,2
Luxe Hotels - Common,com.luxe.common.pagination,Connection,0,149,1,19,0,24,1,13,0,4
Luxe Hotels - Common,com.luxe.common.pagination,Edge,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Common,com.luxe.common.scalar,Money,0,99,0,4,0,13,0,10,0,8
Luxe Hotels - Common,com.luxe.common.error,NotFoundError,0,20,0,0,0,3,0,2,0,2
Luxe Hotels - Common,com.luxe.common.error,InsufficientPointsError,0,24,0,0,0,3,0,2,0,2
Luxe Hotels - Common,com.luxe.common.error,AlreadyEnrolledError,0,19,0,0,0,3,0,2,0,2
Luxe Hotels - Common,com.luxe.common.error,FieldError,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Common,com.luxe.common.error,AuthenticationError,14,0,0,0,3,0,2,0,2,0
Luxe Hotels - Common,com.luxe.common.error,ValidationError,0,18,0,0,0,3,0,2,0,2
Luxe Hotels - Common,com.luxe.common.error,PaymentDeclinedError,0,18,0,0,0,3,0,2,0,2
Luxe Hotels - Common,com.luxe.common.error,RoomUnavailableError,14,0,0,0,3,0,2,0,2,0
Luxe Hotels - Common,com.luxe.common.error,ExternalServiceError,22,0,0,0,3,0,2,0,2,0
Luxe Hotels - Common,com.luxe.common.error,RateExpiredError,14,0,0,0,3,0,2,0,2,0
Luxe Hotels - Common,com.luxe.common.error,SlotUnavailableError,0,26,0,2,0,4,0,3,0,2
Luxe Hotels - Common,com.luxe.common.error,AuthorizationError,18,0,0,0,3,0,2,0,2,0
