GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.resolver,CorporateDataFetcher,24,220,4,10,4,41,4,19,0,16
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.config,CorporateGraphQLConfig,0,19,0,0,0,3,0,2,0,2
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,TravelReport.DestinationSpend,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,TravelReport.MonthlySpend,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,CorporateContact,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,TravelReport.BrandSpend,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,TravelPolicy,12,167,0,22,4,38,4,25,4,14
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,TravelReport,0,39,0,0,0,1,0,1,0,1
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,TravelPolicy.RateCap,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,CorporateTraveler,19,52,2,0,4,12,5,8,4,8
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,NegotiatedRate,8,36,0,0,2,1,2,1,2,1
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,TravelApproval,15,73,1,1,5,20,6,9,5,9
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,TravelPolicy.ApprovalLevel,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,CorporateAccount,38,107,1,1,11,25,11,14,10,14
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.schema.types,TravelApproval.PolicyException,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Corporate Subgraph,com.luxe.corporate.datasource,CorporateMockDataSource,19,1285,3,45,1,197,3,44,0,23
