GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.resolver,ExperiencesDataFetcher,91,376,20,24,14,70,24,18,4,16
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.datasource,ExperiencesMockDataSource.SlotInfo,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.datasource,ExperiencesMockDataSource,20,1097,6,40,2,184,5,50,0,32
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.schema.types,ExperienceAvailability,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.schema.types,RestaurantAvailability,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.schema.types,ExperienceBooking,12,85,0,0,4,23,4,13,4,13
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.schema.types,RestaurantAvailability.RestaurantSlots,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.schema.types,TimeSlot,0,24,0,0,0,1,0,1,0,1
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.schema.types,GolfTeeTimeAvailability,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.schema.types,SpaTreatment,3,33,0,0,1,1,1,1,1,1
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.schema.types,Experience,8,63,0,0,2,1,2,1,2,1
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.schema.types,CancelExperienceSuccess,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Experiences Subgraph,com.luxe.experiences.config,ExperiencesGraphQLConfig,0,19,0,0,0,3,0,2,0,2
