GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,FrequentFlyerNumber,12,0,0,0,1,0,1,0,1,0
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestPreferences,0,84,0,0,0,6,0,2,0,2
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestName,7,21,0,0,1,1,1,1,1,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestCorporateProfile,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,PaymentMethod,31,52,0,0,9,11,8,6,8,6
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,SavedHotel,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestAddress,0,30,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestPreferences.RoomPreferences,0,24,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestPreferences.PillowPreferences,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestPreferences.DietaryPreferences,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestPreferences.CommunicationPreferences,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,Guest,130,0,0,0,32,0,26,0,26,0
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestExternalIds,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,TravelCompanion,0,27,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,AuthPayload,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestPreferences.AccessibilityNeeds,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestPreferences.BedPreferences,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestPreferences.TransportPreferences,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Guest Subgraph,com.luxe.guest.schema.types,GuestProfile,30,148,0,0,10,26,10,21,10,21
Luxe Hotels - Guest Subgraph,com.luxe.guest.datasource,GuestMockDataSource,10,1308,5,31,0,181,3,46,0,31
Luxe Hotels - Guest Subgraph,com.luxe.guest.config,GuestGraphQLConfig,0,19,0,0,0,5,0,2,0,2
Luxe Hotels - Guest Subgraph,com.luxe.guest.resolver,GuestDataFetcher,361,496,41,17,53,113,33,25,4,25
