GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,EventSpace.EventSpaceRateCard,0,24,0,0,0,1,0,1,0,1
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,EventSpace,8,60,0,0,2,1,2,1,2,1
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,RFP.RFPResponse,5,33,0,0,1,1,1,1,1,1
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,EventSpace.TechnicalSpecs,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,CateringMenu,3,27,0,0,1,1,1,1,1,1
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,RFP.RFPStatusEvent,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,EventSpace.AVEquipment,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,CateringMenu.CateringCourse,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,EventSpace.CapacityStyle,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,RFP.SpaceRequirement,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,GroupBlock,40,53,0,0,11,10,11,5,11,5
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.schema.types,RFP,74,151,7,7,18,38,24,10,17,10
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.datasource,MeetingsMockDataSource,89,1434,21,47,5,217,20,49,2,33
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.config,MeetingsGraphQLConfig,0,19,0,0,0,3,0,2,0,2
Luxe Hotels - Meetings Subgraph,com.luxe.meetings.resolver,MeetingsDataFetcher,32,378,9,17,4,66,10,27,1,23
