GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.datasource,NotificationsMockDataSource,0,1131,1,63,0,178,1,65,0,34
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.config,NotificationsGraphQLConfig,0,19,0,0,0,3,0,2,0,2
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.resolver,NotificationsDataFetcher,321,110,14,2,59,22,16,16,8,16
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.schema.types,MessageThread,36,61,4,0,8,15,9,8,7,8
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.schema.types,NotificationPreferences.ChannelSetting,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.schema.types,NotificationPreferences.CategoryPreference,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.schema.types,Message,7,46,0,2,2,11,2,8,2,7
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.schema.types,NotificationPreferences,9,66,0,8,3,17,3,10,3,6
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.schema.types,PushDevice,22,43,0,0,7,11,7,5,7,5
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.schema.types,NotificationPreferences.QuietHours,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Notifications Subgraph,com.luxe.notifications.schema.types,Notification,42,89,0,2,11,20,10,11,10,10
