GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Luxe Hotels - Property Subgraph,com.luxe.property.config,PropertyGraphQLConfig,0,19,0,0,0,5,0,2,0,2
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,OccupancyLimit,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,HotelLocation,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,HotelPolicies.CheckInPolicy,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,HotelPolicies.CancellationPolicy,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,ParkingInfo,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Address,0,24,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,MediaAsset,0,27,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,TravelerTypeRating,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,SustainabilityInfo.SustainabilityCertification,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,ReviewResponse,9,0,0,0,1,0,1,0,1,0
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Review,24,58,0,0,8,12,8,6,8,6
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,SustainabilityInfo,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,BedConfiguration,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,GuestRating,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Award,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Brand,36,57,0,0,12,12,12,4,12,4
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Attraction,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Amenity,27,30,0,0,9,5,9,1,9,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,GolfCourse,27,0,0,0,2,0,2,0,2,0
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Location,33,0,0,0,1,0,1,0,1,0
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Spa,3,21,0,0,1,1,1,1,1,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Hotel,109,114,12,0,27,21,33,9,27,9
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,CategoryRatings,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,PropertyImage,15,0,0,0,1,0,1,0,1,0
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,HotelPolicies.CheckOutPolicy,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,LocalizedContent,29,13,2,0,4,4,4,2,3,2
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,HotelContact,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,HotelPolicies,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,AirportInfo,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,HotelPolicies.PetPolicy,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,HotelPolicies.EarlyLatePolicy,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,RatingBreakdown,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Coordinates,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Property,120,0,0,0,28,0,21,0,21,0
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,RoomType,48,57,0,0,16,10,16,2,16,2
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,DistanceValue,9,0,0,0,1,0,1,0,1,0
Luxe Hotels - Property Subgraph,com.luxe.property.schema.types,Restaurant,3,33,0,0,1,1,1,1,1,1
Luxe Hotels - Property Subgraph,com.luxe.property.resolver,PropertyDataFetcher,409,328,29,15,60,50,42,18,22,16
Luxe Hotels - Property Subgraph,com.luxe.property.datasource,PropertyMockDataSource,86,1927,15,37,3,198,19,39,5,27
