GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.config,ReservationsGraphQLConfig,0,19,0,0,0,5,0,2,0,2
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,ReservationRateBreakdown,0,39,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,ExpressCheckoutSuccess,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,ReservationAddOn,30,0,0,0,1,0,1,0,1,0
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,CancellationRecord,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,Folio.FolioLineItem,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,Reservation,147,487,21,25,24,91,35,52,19,45
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,DiningReservation,22,51,0,0,7,11,7,6,7,6
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,CheckInEligibility,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,ReservationRoom,0,15,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,DigitalKey,12,34,0,0,4,7,4,4,4,4
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,SpecialRequest,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,SpaAppointment,22,57,0,0,7,13,7,7,7,7
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,PaymentSummary,0,27,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,ReservationLoyaltyContext,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,ReservationRateBreakdown.BillingLineItem,0,21,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,ReservationRateBreakdown.NightlyRate,0,9,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,Reservation.GuestCount,9,0,0,0,1,0,1,0,1,0
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,MobileCheckInSuccess,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,ReservationCancellationPolicy,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,TransportationBooking,25,54,0,0,8,12,8,6,8,6
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,Folio,21,30,0,0,7,6,7,2,7,2
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,ReservationRateBreakdown.TaxLineItem,0,12,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,RoomUpgradeRequest,16,33,0,0,5,8,5,4,5,4
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.schema.types,ReservationRateBreakdown.TaxBreakdown,0,18,0,0,0,1,0,1,0,1
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.resolver,ReservationDataFetcher,215,451,29,25,26,89,30,24,5,22
Luxe Hotels - Reservations Subgraph,com.luxe.reservations.datasource,ReservationMockDataSource,2121,0,109,0,337,0,99,0,43,0
